故障码,循迹/突击,循迹/停障/避障,自主干预,应急避险,跟随/突击,跟随/停障/避障,故障描述
1052001,0,0,0,0,0,0,配置参数读取失败
1052002,2,2,2,2,2,2,设备连接失败
1052003,2,2,2,2,2,2,设备数据读取失败
1052004,0,0,0,0,0,0,缺少关键数据
1052005,0,0,0,0,0,0,数据内容错误
1052006,0,0,0,0,0,0,数据频率异常
1052007,0,0,0,0,0,0,底盘故障
1062001,0,0,0,0,0,0,配置参数读取失败
1062002,0,0,0,0,0,0,无数据输入
1062003,0,0,0,0,0,0,数据频率异常
1062004,0,0,0,0,0,0,数据超限值
1062005,0,0,0,0,0,0,设备连接失败
1062006,0,0,0,0,0,0,数据发送失败
1011001,0,0,0,0,0,0,设备连接失败
1011002,0,0,0,0,0,0,设备数据读取失败
1011003,0,0,0,0,0,0,缺少关键数据
1011005,0,0,0,0,0,0,定位数据为非固定解
1011013,0,0,0,0,0,0,非组合导航模式
1011015,0,0,0,0,0,0,IMU陀螺仪X故障
1011016,0,0,0,0,0,0,IMU陀螺仪Y故障
1011017,0,0,0,0,0,0,IMU陀螺仪Z故障
1011018,0,0,0,0,0,0,IMU加速度计X故障
1011019,0,0,0,0,0,0,IMU加速度计Y故障
1011020,0,0,0,0,0,0,IMU加速度计Z故障
1011021,1,1,0,0,1,1,未收到卫星定位定向数据
1011022,0,0,0,0,0,0,IMU其它故障
1042001,0,0,0,0,0,0,配置参数读取失败
1042002,0,0,0,0,0,0,标定参数读取失败
1042003,0,0,0,0,0,0,设备打开/初始化失败
1042004,0,0,0,0,0,0,设备数据读取失败
1042005,0,0,0,0,0,0,数据时间与系统时间相差太大
1022001,0,0,0,0,0,0,配置参数读取失败
1022002,0,0,0,0,0,0,标定参数读取失败
1022003,0,0,0,0,0,0,设备连接失败
1022004,0,0,0,0,0,0,设备数据读取失败
1022005,0,0,0,0,0,0,数据解析失败
1022006,0,0,0,0,0,0,数据内容错误
1022007,0,0,0,0,0,0,数据丢失
1022008,0,0,0,0,0,0,数据乱序
1022009,0,0,0,0,0,0,数据频率异常
1022010,0,0,0,0,0,0,时间同步异常
1022011,0,0,0,0,0,0,数据时间与系统时间相差太大
1022012,0,0,0,0,0,0,EthPhyErrorState 以太网收发器模块故障
1022013,0,0,0,0,0,0,SocCtrlErrorState SOC控制器模块故障
1022014,0,0,0,0,0,0,ReceiveModuleErrorState 接收模块故障
1022015,0,0,0,0,0,0,SendModuleErrorState 发射模块故障
1022016,0,0,0,0,0,0,InnerModulePowerState 内部器件供电异常
1022017,0,0,0,0,0,0,ElectricMotorErrorState 电机模块故障
1022018,0,0,0,0,0,0,WindowsHeatErrorState 视窗加热异常
1022019,0,0,0,0,0,0,EthCRCErrorState 以太网CRC错误
1022020,0,0,0,0,0,0,SQIInadequateState 链路不充足的 SQI
1022021,0,0,0,0,0,0,SoftwareErrorState 软件故障状态
1022022,0,0,0,0,0,0,HighTemperatureErrorState 温度过温告警状态
1022023,0,0,0,0,0,0,LowTemperatureErrorState 温度低温告警状态
1022024,0,0,0,0,0,0,HighVoltageErrorState 电压过高告警状态
1022025,0,0,0,0,0,0,LowVoltageErrorState 电压过低告警状态
1022026,0,0,0,0,0,0,CfgErrorState 配置数据故障状态
1022027,0,0,0,0,0,0,TimeSynLossState TSN时间同步丢失状态
1022028,0,0,0,0,0,0,TimeSynJumpState TSN时间同步跳变状态
1022029,0,0,0,0,0,0,DeviceCertiState 设备认证状态
1022030,0,2,0,2,0,2,BlockState 遮挡状态，建议清洗雷达表面
1022031,0,0,0,0,0,0,CommunicationLossState 车身数据通信丢失状态
1022032,0,0,0,0,0,0,CommunicationDataInvalidState 通讯数据异常状态
1022033,0,0,0,0,0,0,RangingDegradationState 测距性能下降状态
1022034,0,0,0,0,0,0,RanginggenerallyDegradationState 测距性能一般下降状态
1022035,0,0,0,0,0,0,LidarHeatStatus 加热状态异常
1072004,0,0,0,0,0,0,设备数据读取失败
1072005,0,0,0,0,0,0,数据解析失败
1072006,0,0,0,0,0,0,数据内容错误
1072007,0,0,0,0,0,0,数据丢失
1072008,0,0,0,0,0,0,数据乱序
1072009,0,0,0,0,0,0,数据频率异常
1072010,0,0,0,0,0,0,时间同步异常
1072011,0,0,0,0,0,0,数据时间与系统时间相差太大
1072012,0,0,0,0,0,0,nvmErrorSt 在启动时从非易失性存储器读取/写入配置参数失败
1072013,0,0,0,0,0,0,fatalErrorSt 检测到复位后可能不会消失的内部错误
1072014,0,0,0,0,0,0,generalErrorSt 检测到复位后很可能会消失的内部错误
1072015,0,0,0,0,0,0,tempAlarmSt 严重告警后，Radar 会停止工作
1072016,0,0,0,0,0,0,voltageAlarmSt 工作电压低于或高于定义范围
1072017,0,0,0,0,0,0,interferenceSt 检测受到其他雷达传感器的干扰
1072018,0,0,0,0,2,2,blockAlarmSt 检测受遮挡
1072019,0,0,0,0,0,0,velInfoSt 连续 500ms没有收到任何车辆速率信息的消息
1072020,0,0,0,0,0,0,eleAxisErrSt 雷达安装位置由于震动等原因导致中心轴线偏离原定位置
1072021,0,0,0,0,0,0,cfgAbnormalSt 安装参数错误或者车型未配置
1072022,0,0,0,0,0,0,unCalAlarm 未标定模块
1072023,0,0,0,0,0,0,TsnSynSt 时钟同步信号异常
2012001,0,0,0,0,0,0,节点异常
2012002,0,0,0,0,0,0,配置参数读取失败
2012003,0,0,0,0,0,0,数据存储目录不能正常访问
2012004,0,0,0,0,0,0,数据超过限额
2012005,0,0,0,0,0,0,写文件失败
2012006,0,0,0,0,0,0,删除文件失败
2012007,0,0,0,0,0,0,打开文件失败
2021001,0,0,0,0,0,0,板卡RAM占用率高
2021002,0,0,0,0,0,0,板卡系统硬盘可使用空间过小
2021003,0,0,0,0,0,0,板卡用户硬盘可使用空间过小
2021004,0,0,0,0,0,0,板卡CPU温度过高
2021005,0,0,0,0,0,0,板卡GPU温度过高
2021006,0,0,0,0,0,0,板卡网卡Tx带宽占用过高
2021007,0,0,0,0,0,0,板卡网卡Rx带宽占用过高
2021009,0,0,0,0,0,0,共享内存使用过多
2021010,0,0,0,0,0,0,信号量使用过多
2021011,0,0,0,0,0,0,文件资源打开过多
2021012,0,0,0,0,0,0,CPU负载高
2021013,0,0,0,0,0,0,板卡负载高
2022001,0,0,0,0,0,0,配置参数读取失败
2022002,0,0,0,0,0,0,设备连接失败
4002001,0,0,0,0,0,0,配置参数读取失败
4002002,0,0,0,0,0,0,图像数据无输入
4002003,0,0,0,0,0,0,图像数据无效
4002004,0,0,0,0,0,0,图像编码格式错误
4002005,0,0,0,0,0,0,图像频率异常
