节点ID,循迹/突击,循迹/停障/避障,自主干预,应急避险,跟随/突击,跟随/停障/避障
HuaWei_L106_U-63,0,0,0,0,0,0
HuaWei_L106_U-64,0,2,0,2,0,0
HuaWei_L106_U-65,0,0,0,0,0,0
Huawei_FR671V2_U-99,0,0,0,0,0,0
Huawei_FR671V2_U-100,0,0,0,0,2,2
Huawei_FR671V2_U-101,0,0,0,0,0,0
Mdc_Camera_List_V2_U-117,0,0,2,2,0,0
BD21WS_imu_U-128,2,2,0,0,2,2
XFullLocComposer_U-144,0,0,0,0,0,0
XIMU_WHEEL_U-147,0,0,0,0,0,0
PriTopicSelector_U-15,0,0,0,0,0,0
XBasicRemoteControl_U-18,0,0,2,2,0,0
XObjectFollow_U-106,0,0,0,0,2,2
Xremote_control_prior_to_auto_U-109,0,0,0,0,0,0
Xmid_track_receive_by_zmq_U-110,0,0,0,0,0,0
Xmid_track_send_by_zmq_U-111,2,2,2,2,2,2
Xpath_following_U-114,2,2,0,0,0,0
Xvehicle_control_purepursuit_pid_U-124,0,0,0,0,0,0
Xtask_executor_U-135,2,2,0,0,2,2
PriTopicSelector_U-143,0,0,0,0,0,0
XAEBControl_soa_U-148,2,2,0,0,0,2
XMDCDLLidar_MDC610_soa_V1_U-107,0,0,0,0,0,0
XSemanticMapMLidar_soa_V2_U-121,2,2,0,2,2,2
XMDCDLVision_MDC610_zeroCopy_soa_V1_U-122,2,2,0,0,2,2
XPerceptionFollow_soa_V4_U-149,2,2,0,0,2,2
Xvideo_selector_U-24,0,0,0,0,0,0
MdcCameraStitchSoaV2_U-118,0,0,0,0,0,0
XPutImageInShmServer_U-150,0,0,2,2,0,0
XDrawAssistLinesServer_U-151,0,0,2,2,0,0
XDrawObstaclesServer_U-153,0,0,2,2,0,0
XImageLayoutServer_U-154,0,0,2,2,0,0
Xh265_encoder_by_mdc_U-130,0,0,0,0,0,0
Xh265_rtp_pusher_U-131,0,0,0,0,0,0
Xh265_rtsp_server_U-132,0,0,0,0,0,0
Xh265_recorder_U-142,0,0,0,0,0,0
Xvis_warining_box_U-146,0,0,0,0,0,0
Xsystem_monitor_app_U-27,0,0,0,0,0,0
Xblackbox_recorder_U-29,0,0,0,0,0,0
Xaggregate_vehicle_status_snapshot_U-31,0,0,0,0,0,0
Xfault_handler_U-75,0,0,0,0,0,0
Xcompose_surround_view_with_status_U-120,0,0,0,0,0,0
Xtopic_recorder_ondemand_U-127,0,0,0,0,0,0
Xh265_encoder_by_mdc_U-133,0,0,0,0,0,0
Xh265_recorder_U-134,0,0,0,0,0,0
Xflag_int_U-88,0,0,0,0,0,0
Xxtak_interface_mqtt2_U-125,0,0,0,0,0,0
Xxtak_notification_mqtt2_U-126,0,0,0,0,0,0
Xxtak_rc_zmq3_U-138,2,2,2,2,2,2
Xxtak_task_zmq3_U-139,2,2,0,0,2,2
Xxtak_notification_zmq3_U-140,0,0,0,0,0,0
